Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/01/2024,Starbucks Coffee,STARBUCKS STORE #12345,-4.85,debit,Coffee Shops,Chase Checking,,
12/01/2024,Salary Deposit,PAYROLL DEPOSIT - COMPANY ABC,2500.00,credit,Paycheck,Chase Checking,,Monthly salary
11/30/2024,Amazon Purchase,AMAZON.COM AMZN.COM/BILL,-29.99,debit,Shopping,Chase Credit Card,,
11/30/2024,Rent Payment,RENT PAYMENT - LANDLORD LLC,-1200.00,debit,Rent & Utilities,Chase Checking,,
11/29/2024,Uber Ride,UBER TRIP 12345,-18.50,debit,Transportation,Chase Credit Card,,Trip to airport
11/29/2024,Grocery Store,WHOLE FOODS MARKET #123,-87.32,debit,Groceries,Chase Checking,,Weekly groceries
11/28/2024,ATM Withdrawal,ATM WITHDRAWAL #54321,-60.00,debit,Cash & ATM,Chase Checking,,
11/28/2024,Netflix Subscription,NETFLIX.COM,-15.99,debit,Entertainment,Chase Credit Card,,Monthly subscription
11/27/2024,Gas Station,SHELL GAS STATION #987,-42.18,debit,Gas & Fuel,Chase Credit Card,,
11/27/2024,Restaurant Dinner,OLIVE GARDEN #456,-68.50,debit,Restaurants,Chase Credit Card,,Dinner with friends 